Time Instance,Trustor,Trustee,Pack_f,Pack_d,Pack_f Count,Pack_d Count,pdr,Frd1,CoI_id
1,6,1,0,1,0,1,0,0,1
2,3,1,0,1,0,1,0,0,1
2,3,1,0,1,0,2,0,0,1
3,6,1,1,0,1,1,0.5,0,1
3,6,1,1,0,2,1,0.666666667,0,1
3,3,1,0,1,0,3,0,0,1
4,6,1,0,1,2,2,0.5,0,1
5,6,1,1,0,3,2,0.6,0,1
5,3,1,0,1,0,4,0,0,1
6,6,1,0,1,3,3,0.5,0,1
6,6,1,0,1,3,4,0.428571429,1,1
6,6,1,1,0,4,4,0.5,1,1
7,6,1,0,1,4,5,0.444444444,1,1
7,6,1,0,1,4,6,0.4,1,1
8,6,1,0,1,4,7,0.363636364,1,1
8,6,1,1,0,5,7,0.416666667,1,1
8,6,1,0,1,5,8,0.384615385,1,1
9,3,1,1,0,1,4,0.2,1,1
9,6,1,1,0,6,8,0.428571429,1,1
9,6,1,1,0,7,8,0.466666667,1,1
10,3,1,0,1,1,5,0.166666667,1,1
10,6,1,0,1,7,9,0.4375,1,1
11,3,1,0,1,1,6,0.142857143,1,1
11,6,1,1,0,8,9,0.470588235,1,1
12,3,1,1,0,2,6,0.25,1,1
12,6,1,0,1,8,10,0.444444444,1,1
12,6,1,1,0,9,10,0.473684211,1,1
13,3,1,1,0,3,6,0.333333333,1,1
13,6,1,1,0,10,10,0.5,1,1
13,6,1,0,1,10,11,0.476190476,1,1
14,3,1,1,0,4,6,0.4,1,1
14,6,1,1,0,11,11,0.5,1,1
15,3,1,1,0,5,6,0.454545455,1,1
15,6,1,1,0,12,11,0.52173913,1,1
15,6,1,1,0,13,11,0.541666667,1,1
16,3,1,0,1,5,7,0.416666667,1,1
16,6,1,1,0,14,11,0.56,1,1
16,6,1,1,0,15,11,0.576923077,1,1
17,3,1,0,1,5,8,0.384615385,1,1
17,6,1,1,0,16,11,0.592592593,1,1
18,6,1,1,0,17,11,0.607142857,1,1
18,6,1,1,0,18,11,0.620689655,1,1
18,3,1,0,1,5,9,0.357142857,1,1
19,6,1,0,1,18,12,0.6,1,1
19,3,1,0,1,5,10,0.333333333,1,1
20,3,1,1,0,6,10,0.375,1,1
20,6,1,1,0,19,12,0.612903226,1,1
21,3,1,1,0,7,10,0.411764706,1,1
22,6,1,1,0,20,12,0.625,1,1
22,6,1,0,1,20,13,0.606060606,1,1
23,3,1,0,1,7,11,0.388888889,1,1
24,6,1,0,1,20,14,0.588235294,1,1
24,6,1,1,0,21,14,0.6,1,1
25,3,1,1,0,8,11,0.421052632,1,1
25,6,1,1,0,22,14,0.611111111,1,1
26,3,1,1,0,9,11,0.45,1,1
26,6,1,1,0,23,14,0.621621622,1,1
27,6,1,1,0,24,14,0.631578947,1,1
28,3,1,1,0,10,11,0.476190476,1,1
29,6,1,1,0,25,14,0.641025641,1,1
30,6,1,0,1,25,15,0.625,1,1
30,6,1,0,1,25,16,0.609756098,1,1
31,6,1,0,1,25,17,0.595238095,1,1
32,3,1,1,0,11,11,0.5,1,1
32,6,1,1,0,26,17,0.604651163,1,1
33,6,1,1,0,27,17,0.613636364,1,1
34,3,1,0,1,11,12,0.47826087,1,1
34,6,1,1,0,28,17,0.622222222,1,1
35,6,1,0,1,28,18,0.608695652,1,1
36,3,1,1,0,12,12,0.5,1,1
37,6,1,0,1,28,19,0.595744681,1,1
37,6,1,1,0,29,19,0.604166667,1,1
37,6,1,0,1,29,20,0.591836735,1,1
38,3,1,0,1,12,13,0.48,1,1
38,6,1,0,1,29,21,0.58,1,1
39,3,1,0,1,12,14,0.461538462,1,1
39,6,1,0,1,29,22,0.568627451,1,1
39,6,1,0,1,29,23,0.557692308,1,1
40,3,1,1,0,13,14,0.481481481,1,1
41,6,1,1,0,30,23,0.566037736,1,1
42,3,1,1,0,14,14,0.5,1,1
42,6,1,0,1,30,24,0.555555556,1,1
43,6,1,0,1,30,25,0.545454545,1,1
43,3,1,1,0,15,14,0.517241379,1,1
44,6,1,1,0,31,25,0.553571429,1,1
44,6,1,0,1,31,26,0.543859649,1,1
44,6,1,1,0,32,26,0.551724138,1,1
45,3,1,0,1,15,15,0.5,1,1
45,6,1,0,1,32,27,0.542372881,1,1
47,6,1,0,1,32,28,0.533333333,1,1
47,3,1,1,0,16,15,0.516129032,1,1
48,6,1,0,1,32,29,0.524590164,1,1
49,6,1,0,1,32,30,0.516129032,1,1
49,3,1,0,1,16,16,0.5,1,1
50,6,1,0,1,32,31,0.507936508,1,1
50,6,1,1,0,33,31,0.515625,1,1
51,3,1,1,0,17,16,0.515151515,1,1
51,6,1,1,0,34,31,0.523076923,1,1
52,6,1,1,0,35,31,0.53030303,1,1
52,6,1,0,1,35,32,0.52238806,1,1
53,6,1,1,0,36,32,0.529411765,1,1
53,3,1,0,1,17,17,0.5,1,1
54,6,1,0,1,36,33,0.52173913,1,1
55,3,1,0,1,17,18,0.485714286,1,1
55,6,1,1,0,37,33,0.528571429,1,1
56,6,1,0,1,37,34,0.521126761,1,1
56,3,1,0,1,17,19,0.472222222,1,1
57,6,1,0,1,37,35,0.513888889,1,1
57,6,1,1,0,38,35,0.520547945,1,1
58,3,1,1,0,18,19,0.486486486,1,1
58,6,1,0,1,38,36,0.513513514,1,1
59,3,1,1,0,19,19,0.5,1,1
60,6,1,1,0,39,36,0.52,1,1
60,3,1,1,0,20,19,0.512820513,1,1
61,6,1,1,0,40,36,0.526315789,1,1
62,6,1,1,0,41,36,0.532467532,1,1
62,3,1,1,0,21,19,0.525,1,1
63,6,1,0,1,41,37,0.525641026,1,1
64,3,1,1,0,22,19,0.536585366,1,1
64,6,1,1,0,42,37,0.53164557,1,1
65,6,1,1,0,43,37,0.5375,1,1
66,3,1,0,1,22,20,0.523809524,1,1
66,6,1,1,0,44,37,0.543209877,1,1
67,6,1,1,0,45,37,0.548780488,1,1
68,6,1,1,0,46,37,0.554216867,1,1
69,3,1,0,1,22,21,0.511627907,1,1
70,6,1,1,0,47,37,0.55952381,1,1
71,6,1,0,1,47,38,0.552941176,1,1
71,6,1,0,1,47,39,0.546511628,1,1
72,6,1,0,1,47,40,0.540229885,1,1
73,3,1,1,0,23,21,0.522727273,1,1
73,6,1,0,1,47,41,0.534090909,1,1
74,6,1,1,0,48,41,0.539325843,1,1
74,6,1,0,1,48,42,0.533333333,1,1
75,3,1,1,0,24,21,0.533333333,1,1
75,6,1,1,0,49,42,0.538461538,1,1
76,6,1,0,1,49,43,0.532608696,1,1
76,6,1,0,1,49,44,0.52688172,1,1
77,3,1,0,1,24,22,0.52173913,1,1
78,6,1,0,1,49,45,0.521276596,1,1
78,6,1,1,0,50,45,0.526315789,1,1
80,6,1,1,0,51,45,0.53125,1,1
80,6,1,1,0,52,45,0.536082474,1,1
81,6,1,0,1,52,46,0.530612245,1,1
81,6,1,0,1,52,47,0.525252525,1,1
82,3,1,1,0,25,22,0.531914894,1,1
83,6,1,1,0,53,47,0.53,1,1
83,3,1,0,1,25,23,0.520833333,1,1
84,6,1,1,0,54,47,0.534653465,1,1
85,6,1,0,1,54,48,0.529411765,1,1
86,3,1,0,1,25,24,0.510204082,1,1
86,6,1,0,1,54,49,0.524271845,1,1
87,6,1,1,0,55,49,0.528846154,1,1
88,6,1,1,0,56,49,0.533333333,1,1
88,3,1,1,0,26,24,0.52,1,1
89,6,1,1,0,57,49,0.537735849,1,1
89,6,1,1,0,58,49,0.542056075,1,1
90,3,1,1,0,27,24,0.529411765,1,1
90,6,1,0,1,58,50,0.537037037,1,1
91,6,1,0,1,58,51,0.532110092,1,1
92,3,1,0,1,27,25,0.519230769,1,1
92,6,1,1,0,59,51,0.536363636,1,1
93,3,1,0,1,27,26,0.509433962,1,1
93,6,1,0,1,59,52,0.531531532,1,1
94,3,1,1,0,28,26,0.518518519,1,1
95,6,1,1,0,60,52,0.535714286,1,1
95,6,1,0,1,60,53,0.530973451,1,1
96,6,1,0,1,60,54,0.526315789,1,1
97,3,1,1,0,29,26,0.527272727,1,1
97,6,1,0,1,60,55,0.52173913,1,1
98,6,1,0,1,60,56,0.517241379,1,1
98,6,1,1,0,61,56,0.521367521,1,1
99,3,1,0,1,29,27,0.517857143,1,1
99,6,1,0,1,61,57,0.516949153,1,1
101,6,1,0,1,61,58,0.512605042,1,1
102,3,1,1,0,30,27,0.526315789,1,1
102,6,1,0,1,61,59,0.508333333,1,1
103,6,1,0,1,61,60,0.504132231,1,1
103,3,1,1,0,31,27,0.534482759,1,1
105,6,1,0,1,61,61,0.5,1,1
105,3,1,1,0,32,27,0.542372881,1,1
106,6,1,0,1,61,62,0.495934959,1,1
107,6,1,0,1,61,63,0.491935484,1,1
107,3,1,0,1,32,28,0.533333333,1,1
108,6,1,0,1,61,64,0.488,1,1
108,6,1,0,1,61,65,0.484126984,1,1
109,3,1,0,1,32,29,0.524590164,1,1
109,6,1,0,1,61,66,0.480314961,1,1
110,3,1,1,0,33,29,0.532258065,1,1
110,6,1,1,0,62,66,0.484375,1,1
111,6,1,1,0,63,66,0.488372093,1,1
111,3,1,0,1,33,30,0.523809524,1,1
112,6,1,0,1,63,67,0.484615385,1,1
113,3,1,1,0,34,30,0.53125,1,1
114,6,1,1,0,64,67,0.488549618,1,1
114,6,1,0,1,64,68,0.484848485,1,1
115,3,1,0,1,34,31,0.523076923,1,1
115,6,1,1,0,65,68,0.488721805,1,1
116,3,1,1,0,35,31,0.53030303,1,1
117,6,1,0,1,65,69,0.485074627,1,1
117,6,1,1,0,66,69,0.488888889,1,1
118,3,1,1,0,36,31,0.537313433,1,1
118,6,1,0,1,66,70,0.485294118,1,1
119,6,1,1,0,67,70,0.489051095,1,1
119,6,1,0,1,67,71,0.485507246,1,1
120,6,1,0,1,67,72,0.482014388,1,1
121,3,1,1,0,37,31,0.544117647,1,1
121,6,1,1,0,68,72,0.485714286,1,1
122,3,1,0,1,37,32,0.536231884,1,1
122,6,1,1,0,69,72,0.489361702,1,1
123,3,1,1,0,38,32,0.542857143,1,1
124,6,1,1,0,70,72,0.492957746,1,1
126,6,1,1,0,71,72,0.496503497,1,1
126,6,1,1,0,72,72,0.5,1,1
127,6,1,0,1,72,73,0.496551724,1,1
127,3,1,1,0,39,32,0.549295775,1,1
128,6,1,1,0,73,73,0.5,1,1
129,6,1,1,0,74,73,0.503401361,1,1
129,6,1,0,1,74,74,0.5,1,1
131,3,1,1,0,40,32,0.555555556,1,1
131,6,1,0,1,74,75,0.496644295,1,1
132,3,1,0,1,40,33,0.547945205,1,1
132,6,1,1,0,75,75,0.5,1,1
133,3,1,0,1,40,34,0.540540541,1,1
133,6,1,0,1,75,76,0.496688742,1,1
134,6,1,0,1,75,77,0.493421053,1,1
134,6,1,1,0,76,77,0.496732026,1,1
135,6,1,0,1,76,78,0.493506494,1,1
135,3,1,0,1,40,35,0.533333333,1,1
136,6,1,1,0,77,78,0.496774194,1,1
136,3,1,1,0,41,35,0.539473684,1,1
137,3,1,0,1,41,36,0.532467532,1,1
138,6,1,0,1,77,79,0.493589744,1,1
139,3,1,1,0,42,36,0.538461538,1,1
139,6,1,1,0,78,79,0.496815287,1,1
140,6,1,0,1,78,80,0.493670886,1,1
140,3,1,1,0,43,36,0.544303797,1,1
141,6,1,0,1,78,81,0.490566038,1,1
141,3,1,0,1,43,37,0.5375,1,1
142,6,1,0,1,78,82,0.4875,1,1
142,6,1,1,0,79,82,0.49068323,1,1
143,6,1,0,1,79,83,0.487654321,1,1
144,3,1,0,1,43,38,0.530864198,1,1
144,6,1,0,1,79,84,0.484662577,1,1
145,6,1,0,1,79,85,0.481707317,1,1
146,3,1,0,1,43,39,0.524390244,1,1
146,6,1,0,1,79,86,0.478787879,1,1
147,6,1,0,1,79,87,0.475903614,1,1
147,6,1,1,0,80,87,0.479041916,1,1
148,3,1,0,1,43,40,0.518072289,1,1
149,6,1,0,1,80,88,0.476190476,1,1
149,6,1,0,1,80,89,0.473372781,1,1
150,6,1,0,1,80,90,0.470588235,1,1
151,6,1,0,1,80,91,0.467836257,1,1
151,6,1,0,1,80,92,0.465116279,1,1
153,6,1,0,1,80,93,0.462427746,1,1
153,3,1,1,0,44,40,0.523809524,1,1
154,6,1,1,0,81,93,0.465517241,1,1
154,6,1,0,1,81,94,0.462857143,1,1
155,3,1,0,1,44,41,0.517647059,1,1
155,3,1,0,1,44,42,0.511627907,1,1
156,6,1,0,1,81,95,0.460227273,1,1
156,6,1,1,0,82,95,0.463276836,1,1
157,3,1,0,1,44,43,0.505747126,1,1
157,3,1,0,1,44,44,0.5,1,1
158,6,1,0,1,82,96,0.460674157,1,1
159,6,1,0,1,82,97,0.458100559,1,1
159,6,1,0,1,82,98,0.455555556,1,1
160,3,1,1,0,45,44,0.505617978,1,1
160,3,1,1,0,46,44,0.511111111,1,1
161,6,1,1,0,83,98,0.458563536,1,1
161,6,1,0,1,83,99,0.456043956,1,1
162,3,1,0,1,46,45,0.505494505,1,1
163,6,1,0,1,83,100,0.453551913,1,1
163,3,1,0,1,46,46,0.5,1,1
164,6,1,1,0,84,100,0.456521739,1,1
165,3,1,0,1,46,47,0.494623656,1,1
166,3,1,0,1,46,48,0.489361702,1,1
167,6,1,0,1,84,101,0.454054054,1,1
168,3,1,1,0,47,48,0.494736842,1,1
168,6,1,0,1,84,102,0.451612903,1,1
169,6,1,0,1,84,103,0.449197861,1,1
170,3,1,1,0,48,48,0.5,1,1
170,6,1,1,0,85,103,0.45212766,1,1
171,6,1,0,1,85,104,0.44973545,1,1
171,6,1,1,0,86,104,0.452631579,1,1
172,6,1,1,0,87,104,0.455497382,1,1
173,6,1,1,0,88,104,0.458333333,1,1
173,6,1,0,1,88,105,0.455958549,1,1
174,3,1,0,1,48,49,0.494845361,1,1
175,6,1,1,0,89,105,0.458762887,1,1
176,6,1,0,1,89,106,0.456410256,1,1
176,3,1,0,1,48,50,0.489795918,1,1
178,6,1,1,0,90,106,0.459183673,1,1
178,6,1,1,0,91,106,0.461928934,1,1
179,6,1,1,0,92,106,0.464646465,1,1
179,6,1,0,1,92,107,0.462311558,1,1
180,3,1,0,1,48,51,0.484848485,1,1
180,6,1,1,0,93,107,0.465,1,1
181,6,1,1,0,94,107,0.467661692,1,1
181,6,1,0,1,94,108,0.465346535,1,1
182,3,1,1,0,49,51,0.49,1,1
182,6,1,1,0,95,108,0.467980296,1,1
183,6,1,0,1,95,109,0.465686275,1,1
183,3,1,1,0,50,51,0.495049505,1,1
184,3,1,1,0,51,51,0.5,1,1
185,6,1,1,0,96,109,0.468292683,1,1
186,3,1,1,0,52,51,0.504854369,1,1
188,6,1,0,1,96,110,0.466019417,1,1
188,3,1,1,0,53,51,0.509615385,1,1
189,6,1,0,1,96,111,0.463768116,1,1
189,6,1,1,0,97,111,0.466346154,1,1
190,6,1,1,0,98,111,0.468899522,1,1
190,3,1,1,0,54,51,0.514285714,1,1
191,6,1,0,1,98,112,0.466666667,1,1
191,6,1,1,0,99,112,0.469194313,1,1
192,3,1,1,0,55,51,0.518867925,1,1
192,6,1,0,1,99,113,0.466981132,1,1
193,3,1,1,0,56,51,0.523364486,1,1
193,6,1,0,1,99,114,0.464788732,1,1
194,6,1,1,0,100,114,0.46728972,1,1
194,3,1,0,1,56,52,0.518518519,1,1
195,6,1,0,1,100,115,0.465116279,1,1
197,6,1,0,1,100,116,0.462962963,1,1
198,3,1,0,1,56,53,0.513761468,1,1
199,6,1,0,1,100,117,0.460829493,1,1
199,6,1,0,1,100,118,0.458715596,1,1
200,3,1,1,0,57,53,0.518181818,1,1
200,6,1,0,1,100,119,0.456621005,1,1
201,6,1,1,0,101,119,0.459090909,1,1
201,3,1,0,1,57,54,0.513513514,1,1
203,6,1,1,0,102,119,0.461538462,1,1
203,6,1,0,1,102,120,0.459459459,1,1
204,6,1,0,1,102,121,0.457399103,1,1
205,3,1,1,0,58,54,0.517857143,1,1
206,6,1,1,0,103,121,0.459821429,1,1
206,6,1,1,0,104,121,0.462222222,1,1
207,3,1,0,1,58,55,0.513274336,1,1
207,6,1,1,0,105,121,0.46460177,1,1
208,6,1,1,0,106,121,0.466960352,1,1
208,6,1,1,0,107,121,0.469298246,1,1
209,6,1,1,0,108,121,0.471615721,1,1
209,6,1,0,1,108,122,0.469565217,1,1
210,6,1,1,0,109,122,0.471861472,1,1
210,6,1,0,1,109,123,0.469827586,1,1
211,3,1,1,0,59,55,0.51754386,1,1
211,6,1,0,1,109,124,0.467811159,1,1
212,6,1,0,1,109,125,0.465811966,1,1
212,3,1,1,0,60,55,0.52173913,1,1
213,6,1,0,1,109,126,0.463829787,1,1
214,6,1,0,1,109,127,0.461864407,1,1
214,6,1,0,1,109,128,0.459915612,1,1
215,6,1,1,0,110,128,0.462184874,1,1
216,3,1,0,1,60,56,0.517241379,1,1
216,6,1,0,1,110,129,0.460251046,1,1
217,6,1,1,0,111,129,0.4625,1,1
217,3,1,1,0,61,56,0.521367521,1,1
218,6,1,0,1,111,130,0.460580913,1,1
218,6,1,0,1,111,131,0.458677686,1,1
219,3,1,0,1,61,57,0.516949153,1,1
219,6,1,1,0,112,131,0.46090535,1,1
220,3,1,0,1,61,58,0.512605042,1,1
220,6,1,0,1,112,132,0.459016393,1,1
221,3,1,1,0,62,58,0.516666667,1,1
221,6,1,1,0,113,132,0.46122449,1,1
222,3,1,0,1,62,59,0.512396694,1,1
223,6,1,0,1,113,133,0.459349593,1,1
224,3,1,1,0,63,59,0.516393443,1,1
224,6,1,1,0,114,133,0.461538462,1,1
225,6,1,0,1,114,134,0.459677419,1,1
226,3,1,0,1,63,60,0.512195122,1,1
227,6,1,0,1,114,135,0.457831325,1,1
227,3,1,1,0,64,60,0.516129032,1,1
228,6,1,1,0,115,135,0.46,1,1
228,3,1,1,0,65,60,0.52,1,1
230,6,1,0,1,115,136,0.458167331,1,1
230,6,1,1,0,116,136,0.46031746,1,1
231,3,1,0,1,65,61,0.515873016,1,1
231,6,1,1,0,117,136,0.462450593,1,1
232,6,1,1,0,118,136,0.464566929,1,1
233,3,1,0,1,65,62,0.511811024,1,1
235,3,1,0,1,65,63,0.5078125,1,1
235,6,1,1,0,119,136,0.466666667,1,1
236,6,1,0,1,119,137,0.46484375,1,1
237,3,1,0,1,65,64,0.503875969,1,1
239,6,1,1,0,120,137,0.46692607,1,1
239,3,1,0,1,65,65,0.5,1,1
240,6,1,0,1,120,138,0.465116279,1,1
240,6,1,1,0,121,138,0.467181467,1,1
241,3,1,0,1,65,66,0.496183206,1,1
241,6,1,1,0,122,138,0.469230769,1,1
242,3,1,1,0,66,66,0.5,1,1
243,6,1,1,0,123,138,0.471264368,1,1
243,6,1,1,0,124,138,0.473282443,1,1
244,3,1,0,1,66,67,0.496240602,1,1
245,6,1,0,1,124,139,0.47148289,1,1
245,6,1,1,0,125,139,0.473484848,1,1
246,6,1,1,0,126,139,0.475471698,1,1
247,3,1,0,1,66,68,0.492537313,1,1
247,6,1,0,1,126,140,0.473684211,1,1
248,6,1,1,0,127,140,0.475655431,1,1
248,3,1,0,1,66,69,0.488888889,1,1
249,3,1,1,0,67,69,0.492647059,1,1
250,6,1,1,0,128,140,0.47761194,1,1
250,6,1,1,0,129,140,0.479553903,1,1
251,3,1,1,0,68,69,0.496350365,1,1
251,6,1,0,1,129,141,0.477777778,1,1
252,3,1,0,1,68,70,0.492753623,1,1
253,6,1,1,0,130,141,0.479704797,1,1
253,3,1,1,0,69,70,0.496402878,1,1
254,6,1,0,1,130,142,0.477941176,1,1
254,6,1,0,1,130,143,0.476190476,1,1
255,3,1,1,0,70,70,0.5,1,1
255,6,1,0,1,130,144,0.474452555,1,1
256,6,1,0,1,130,145,0.472727273,1,1
256,3,1,0,1,70,71,0.496453901,1,1
257,6,1,0,1,130,146,0.471014493,1,1
258,6,1,1,0,131,146,0.472924188,1,1
259,3,1,1,0,71,71,0.5,1,1
259,6,1,0,1,131,147,0.471223022,1,1
260,3,1,0,1,71,72,0.496503497,1,1
261,6,1,0,1,131,148,0.46953405,1,1
262,6,1,0,1,131,149,0.467857143,1,1
264,3,1,0,1,71,73,0.493055556,1,1
264,6,1,0,1,131,150,0.466192171,1,1
265,6,1,1,0,132,150,0.468085106,1,1
265,3,1,1,0,72,73,0.496551724,1,1
266,6,1,1,0,133,150,0.469964664,1,1
267,6,1,0,1,133,151,0.468309859,1,1
267,6,1,1,0,134,151,0.470175439,1,1
268,6,1,1,0,135,151,0.472027972,1,1
269,6,1,0,1,135,152,0.470383275,1,1
269,3,1,0,1,72,74,0.493150685,1,1
270,6,1,1,0,136,152,0.472222222,1,1
270,6,1,0,1,136,153,0.470588235,1,1
272,6,1,1,0,137,153,0.472413793,1,1
272,6,1,0,1,137,154,0.470790378,1,1
273,3,1,0,1,72,75,0.489795918,1,1
273,6,1,1,0,138,154,0.47260274,1,1
274,6,1,1,0,139,154,0.47440273,1,1
274,3,1,0,1,72,76,0.486486486,1,1
